QUESTION	INTENT
인피니티워 시간알고싶어	getRunningTime
라라랜드 보는데 걸리는 시간 몇분?	getRunningTime
인터스텔라 총 상영 시간 알려줘	getRunningTime
해빙 상영 시간 얼마지?	getRunningTime
겨울왕국 시청하는데 드는 시간 알고싶어	getRunningTime
셔터 총 상영 시간 몇분이야	getRunningTime
안시성 상영 시간 몇분?	getRunningTime
안시성시청하는데 드는 시간검색해줘	search
인터스텔라 남자 주인공 누구야?	findPerson
해빙 여주 이름	findPerson
인피니티 워 남주 알려줘	findPerson
안시성 연출자 검색해줘	search
라라랜드 맡은 배우 누구지?	findPerson
겨울 왕국 주인공 찾아줘	findPerson
셔터 영화 감독 이름이 뭐지?	findPerson
인피니티 워 여자 주인공 이름이 뭐야?	findPerson
인터스텔라 영화 감독 검색해	search
안시성 여주 누구지?	findPerson
셔터 남주 누구야?	findPerson
해빙 연출자 검색해	search
라라랜드 맡은 배우 이름이 뭐야?	findPerson
겨울 왕국 여자 주인공 알려줘	findPerson
라라랜드 주인공 이름	findPerson
안시성 맡은 배우 이름	findPerson
라라랜드 연출자 이름이 뭐야?	findPerson
인피니티워 주인공 검색해줘	search
셔터 여자 주인공 알려줘	findPerson
해빙 영화 감독 검색해	search
인터스텔라 여주 찾아줘	findPerson
겨울왕국 남주 누구야?	findPerson
겨울왕국 남자 주인공 누구지?	findPerson
셔터 영화 감독 이름이 뭐지?	findPerson
해빙 남주이름이 뭐지?	findPerson
인피니티워 여주 찾아줘	findPerson
라라랜드 남자 주인공 검색해줘	search
안시성 연출자 검색해	search
인터스텔라 여자 주인공 이름	findPerson
해빙 주인공 누구지?	findPerson
해빙 남자 주인공 찾아줘	findPerson
셔터 주인공 검색해	search
라라랜드 맡은 배우 누구지?	findPerson
인터스텔라 여자 주인공 알려줘	findPerson
겨울왕국 연출자 누구야?	findPerson
안시성 영화 감독 이름이 뭐지?	findPerson
인피니티워 남주 이름	findPerson
인피니티워 여주 이름이 뭐야?	findPerson
겨울왕국 영화 감독 검색해줘	search
해빙 남자 주인공 찾아줘	findPerson
셔터 주인공 알려줘	findPerson
인터스텔라 여자 주인공 이름이 뭐야?	findPerson
라라랜드 여주 이름	findPerson
안시성 남주 누구지?	findPerson
인피니티워 맡은 배우 검색해	search
겨울 왕국 여주 누구지?	findPerson
셔터 남주 이름이 뭐야?	findPerson
안시성 남자 주인공 검색해줘	search
라라랜드 주인공 찾아줘	findPerson
해빙 맡은 배우 누구야?	findPerson
인터스텔라 연출자 알려줘	findPerson
인피니티 워 영화 감독 이름	findPerson
인피니티 워 여자 주인공 검색해	search
해빙 주인공 이름이 뭐지?	findPerson
인터스텔라 여자 주인공 누구야?	findPerson
라라랜드 맡은 배우 이름이 뭐야?	findPerson
셔터 남자 주인공 검색해줘	search
겨울 왕국 여주 검색해	search
안시성 영화 감독 이름이 뭐지?	findPerson
인터스텔라 남주 이름	findPerson
안시성 여자 주인공 찾아줘	findPerson
라라랜드 여주 알려줘	findPerson
셔터 영화 감독 누구야?	findPerson
겨울왕국 맡은 배우이름이 뭐지?	findPerson
맡은 배우 이름 알려줘	findPerson
인터스텔라 남주 누구지?	findPerson
인피니티워 주인공 이름이 뭐야?	findPerson
해빙 연출자 검색해	search
인피니티워 남자 주인공 검색해줘	search
겨울왕국 남주 이름	findPerson
인터스텔라 여자 주인공 누구지?	findPerson
해빙 주인공 찾아줘	findPerson
안시성 영화 감독 이름이 뭐야?	findPerson
그 감독 누구야	findPerson
이 역할을 맡은 사람이 누구야	findPerson
이 역할 맡은 배우 누구야	findPerson
이 역할 맡은 배우 알려줘	findPerson
그 영화 배우 이름 알려줘	findPerson
감독의 이름을 알려줘	findPerson
조연출의 이름을 알려줘	findPerson
감독 이름 알려줘	findPerson
감독 이름 좀	findPerson
배우 이름 좀	findPerson
그 영화 배우 이름 좀	findPerson
그 영화 감독 이름 좀	findPerson
여주인공 누가 맡은거야	findPerson
여주인공 맡은 배우 누구야	findPerson
남주인공 누가 맡은거야	findPerson
남주인공 맡은 배우 알려줘	findPerson
맡은 배우 알려줘	findPerson
연기한 배우 알려줘	findPerson
셔터 연출자 알려줘	findPerson
라라랜드 남자 주인공 누구야?	findPerson
셔터 맡은 배우 검색해줘	search
겨울 왕국 영화 감독 검색해줘	search
해빙 맡은 배우 검색해	search
인터스텔라 연출자 누구야?	findPerson
라라랜드 남주 이름	findPerson
셔터 남자 주인공 이름이 뭐야?	findPerson
안시성 여주 이름이 뭐지?	findPerson
인피니티 워 여자 주인공 누구지?	findPerson
겨울 왕국 주인공 찾아줘	findPerson
인피니티 워 여자 주인공 알려줘	findPerson
인터스텔라 맡은 배우 검색해줘	search
안시성 영화 감독 찾아줘	findPerson
해빙 연출자 검색해	search
라라랜드 주인공 누구야?	findPerson
셔터 여주 이름	findPerson
인피니티 워 남주 누구지?	findPerson
셔터 연출자 누구지?	findPerson
겨울왕국 영화 감독 검색해줘	search
인피니티워 주인공 검색해	search
인터스텔라 맡은 배우이름이 뭐지?	findPerson
안시성 남주 이름이 뭐야?	findPerson
라라랜드 여주 알려줘	findPerson
해빙 여자 주인공 찾아줘	findPerson
라라랜드 남자 주인공 누구야?	findPerson
인터스텔라 연출자 이름	findPerson
인피니티워 여자 주인공 이름	findPerson
안시성 주인공 이름이 뭐지?	findPerson
해빙 남자 주인공 검색해	search
셔터 남주 누구지?	findPerson
겨울왕국 맡은 배우 찾아줘	findPerson
인터스텔라 영화 감독 검색해줘	search
라라랜드 주인공 이름이 뭐야?	findPerson
셔터 남자 주인공 찾아줘	findPerson
인터스텔라 연출자이름이 뭐지?	findPerson
해빙 여자 주인공 누구야?	findPerson
겨울왕국 맡은 배우 이름	findPerson
안시성 여주 검색해줘	search
인피니티워 남주 알려줘	findPerson
해빙 영화 감독 검색해	search
인터스텔라 주인공 누구지?	findPerson
겨울왕국 여자 주인공 검색해줘	search
헐크 맡은 배우 이름 알려줘	findPerson
캡틴아메리카 맡은 배우 이름 알려줘	findPerson
스파이더맨 맡은 배우 이름 알려줘	findPerson
주인공 배우 이름 알려줘	findPerson
그 주인공 맡은 배우가 누구야	findPerson
그 배역 밑은 배우 알려줘	findPerson
셔터 연출자 알려줘	findPerson
안시성 영화 감독 누구지?	findPerson
라라랜드 남주 검색해	search
인피니티워 남자 주인공 이름이 뭐야?	findPerson
라라랜드 맡은 배우 누구야?	findPerson
안시성 주인공 알려줘	findPerson
셔터 영화 감독 이름이 뭐지?	findPerson
인피니티워 남자 주인공 찾아줘	findPerson
엘사 맡은 성우 누구야	findPerson
연기한 배우 누구야	findPerson
연기를 누가 한거니	findPerson
맡은 배우 알려줘	findPerson
누가 맡은 거야	findPerson
엘사 누가 한거야	findPerson
배우가 누구야	findPerson
감독이 누구야	findPerson
누가 만든거야	findPerson
여주인공 이름이 뭐야	findPerson
겨울왕국 맡은 배우 누구지?	findPerson
라라랜드 여주 검색해	search
해빙 연출자 검색해줘	search
인터스텔라 남주 이름	findPerson
해빙 여자 주인공 누구야?	findPerson
라라랜드 영화 감독 이름이 뭐야?	findPerson
인피니티워 남주 이름	findPerson
안시성 연출자 이름이 뭐야?	findPerson
셔터 남자 주인공 검색해줘	search
겨울왕국 주인공 이름이 뭐지?	findPerson
인터스텔라 여자 주인공 알려줘	findPerson
겨울왕국 맡은 배우 누구지?	findPerson
겨울왕국 여자 주인공 누구야?	findPerson
안시성 영화 감독 이름	findPerson
라라랜드 주인공 이름이 뭐지?	findPerson
해빙 남주 찾아줘	findPerson
인터스텔라 남자 주인공 누구지?	findPerson
셔터 여주 검색해	search
인피니티워 연출자 검색해줘	search
해빙 맡은 배우 이름이 뭐야?	findPerson
안시성 여주 알려줘	findPerson
인터스텔라 연출자이름이 뭐지?	findPerson
겨울왕국 주인공 누구지?	findPerson
셔터 남자 주인공 알려줘	findPerson
인피니티워 남주 누구야?	findPerson
라라랜드 맡은 배우 이름	findPerson
겨울왕국 여자 주인공 검색해	search
인터스텔라 남주 이름	findPerson
겨울왕국 주인공 이름이 뭐지?	findPerson
안시성 맡은 배우 이름이 뭐야?	findPerson
해빙 연출자 검색해	search
라라랜드 영화 감독 누구야?	findPerson
인피니티워 여주 찾아줘	findPerson
셔터 남자 주인공 누구지?	findPerson
안시성 여자 주인공 알려줘	findPerson
인터스텔라 남주 검색해줘	search
해빙 연출자 이름이 뭐야?	findPerson
인피니티워 맡은 배우 이름	findPerson
셔터 남자 주인공 검색해줘	search
라라랜드 여주 검색해	search
겨울왕국 주인공 알려줘	findPerson
셔터 영화 감독 이름이 뭐지?	findPerson
인피니티워 맡은 배우 검색해줘	search
인터스텔라 주인공 이름이 뭐야?	findPerson
안시성 여주 이름	findPerson
겨울왕국 여자 주인공 누구지?	findPerson
라라랜드 연출자이름이 뭐지?	findPerson
해빙 남주 검색해	search
셔터 남자 주인공 알려줘	findPerson
겨울왕국 영화 감독 누구야?	findPerson
라라랜드 여자 주인공 찾아줘	findPerson
해빙 맡은 배우 이름이 뭐야?	findPerson
셔터 여주이름이 뭐지?	findPerson
인터스텔라 주인공 알려줘	findPerson
인피니티워 남자 주인공 누구야?	findPerson
안시성 연출자 찾아줘	findPerson
인터스텔라 영화 감독 검색해줘	search
엘사 나오는 영화 1차 예고편 재생	getTrailer
어벤저스 3 트레일러 알려줘	getTrailer
인피니티 워 프로모션 영상 찾아줘	getTrailer
셔터 유튜브 예고편 알고 싶어	getTrailer
안시성 극장 예고편 보여줘	getTrailer
겨울 왕국 예고편 검색해줘	search
인터스텔라 극장 예고편 찾아줘	getTrailer
해빙 예고편 알려줘	getTrailer
라라랜드 트레일러 검색해줘	search
엘사 나오는 영화 프로모션 영상 알고 싶어	getTrailer
겨울 왕국 1차 예고편 재생	getTrailer
안시성 유튜브 예고편 보여줘	getTrailer
해빙 유튜브 예고편 알려줘	getTrailer
어벤저스 3 1차 예고편 재생	getTrailer
인터스텔라 1차 예고편 알고 싶어	getTrailer
해빙 예고편 보여줘	getTrailer
인피니티 워 트레일러 찾아줘	getTrailer
겨울 왕국 프로모션 영상 검색해줘	search
인터스텔라 1차 예고편 재생	getTrailer
안시성 극장 예고편 알고 싶어	getTrailer
엘사 나오는 영화 유튜브 예고편 알려줘	getTrailer
어벤저스3 1차 예고편 보여줘	getTrailer
라라랜드 예고편 검색해줘	search
셔터 극장 예고편 알고 싶어	getTrailer
해빙 프로모션 영상 알려줘	getTrailer
셔터 트레일러 찾아줘	getTrailer
인피니티 워 유튜브 예고편 재생	getTrailer
겨울 왕국 극장 예고편 알려줘	getTrailer
어벤저스 3 예고편 보여줘	getTrailer
안시성 트레일러 알고 싶어	getTrailer
인피니티워 예고편 찾아줘	getTrailer
엘사 나오는 영화 프로모션 영상 재생	getTrailer
안시성 극장 예고편 알고싶어	getTrailer
인터스텔라 유투브 예고편 검색해줘	search
 트레일러 알려줘	getTrailer
해빙 1차 예고편 보여줘	getTrailer
겨울왕국 유투브 예고편 재생	getTrailer
라라랜드 1차 예고편 알려줘	getTrailer
셔터 트레일러 보여줘	getTrailer
해빙 예고편 알고싶어	getTrailer
안시성 프로모션 영상 검색해줘	search
라라랜드 극장 예고편 찾아줘	getTrailer
겨울왕국 극장 예고편 재생	getTrailer
인피니티워 1차 예고편 검색해줘	search
엘사 나오는 영화 유투브 예고편 찾아줘	getTrailer
라라랜드 예고편 재생	getTrailer
겨울 왕국 유튜브 예고편 알고 싶어	getTrailer
어벤저스 3 극장 예고편 찾아줘	getTrailer
해빙 트레일러 검색해줘	search
인피니티 워 프로모션 영상 보여줘	getTrailer
인터스텔라 1차 예고편 알려줘	getTrailer
엘사 나오는 영화 트레일러 알고 싶어	getTrailer
셔터 극장 예고편 보여줘	getTrailer
안시성 1차 예고편 검색해줘	search
라라랜드 예고편 재생	getTrailer
안시성 유튜브 예고편 찾아줘	getTrailer
엘사 나오는 영화 프로모션 영상 알려줘	getTrailer
어벤저스 3 유튜브 예고편 알고 싶어	getTrailer
셔터 1차 예고편 알려줘	getTrailer
해빙 예고편 검색해줘	search
엘사 나오는 영화 프로모션 영상 알려줘	getTrailer
라라랜드 극장 예고편 알고싶어	getTrailer
인피니티워 트레일러 보여줘	getTrailer
 유투브 예고편 찾아줘	getTrailer
겨울왕국 예고편 검색해줘	search
안시성 1차 예고편 재생	getTrailer
셔터 프로모션 영상 검색해줘	search
해빙 예고편 보여줘	getTrailer
인터스텔라 극장 예고편 알려줘	getTrailer
겨울왕국 유투브 예고편 재생	getTrailer
엘사 나오는 영화 1차 예고편 알고싶어	getTrailer
해빙 트레일러 찾아줘	getTrailer
안시성 1차 예고편 보여줘	getTrailer
인피니티워 예고편 재생	getTrailer
라라랜드 유투브 예고편 알고싶어	getTrailer
안시성 예고편 검색해줘	search
겨울왕국 트레일러 알고싶어	getTrailer
엘사 나오는 영화 프로모션 영상 재생	getTrailer
인피니티워 유투브 예고편 찾아줘	getTrailer
라라랜드 1차 예고편 알려줘	getTrailer
셔터 극장 예고편 보여줘	getTrailer
 1차 예고편 재생	getTrailer
해빙 프로모션 영상 알려줘	getTrailer
인터스텔라 예고편 알고싶어	getTrailer
인피니티워 극장 예고편 검색해줘	search
해빙 트레일러 찾아줘	getTrailer
겨울왕국 유투브 예고편 보여줘	getTrailer
라라랜드 트레일러 재생	getTrailer
셔터 프로모션 영상 보여줘	getTrailer
 프로모션 영상 검색해줘	search
인터스텔라 1차 예고편 알려줘	getTrailer
엘사 나오는 영화 프로모션 영상 재생	getTrailer
셔터 유투브 예고편 찾아줘	getTrailer
인피니티워 트레일러 검색해줘	search
라라랜드 예고편 보여줘	getTrailer
안시성 극장 예고편 알고싶어	getTrailer
해빙 1차 예고편 보여줘	getTrailer
겨울왕국 극장 예고편 재생	getTrailer
 트레일러 알려줘	getTrailer
안시성 프로모션 영상 알고싶어	getTrailer
인피니티워 예고편 검색해줘	search
인터스텔라 유투브 예고편 찾아줘	getTrailer
겨울왕국 극장 예고편 보여줘	getTrailer
엘사 나오는 영화 유투브 예고편 알려줘	getTrailer
셔터 1차 예고편 알고싶어	getTrailer
인터스텔라 유투브 예고편 알고싶어	getTrailer
겨울왕국 1차 예고편 알려줘	getTrailer
해빙 극장 예고편 찾아줘	getTrailer
라라랜드 예고편 검색해줘	search
인피니티워 프로모션 영상 보여줘	getTrailer
안시성 트레일러 재생	getTrailer
 극장 예고편 보여줘	getTrailer
셔터 1차 예고편 검색해줘	search
엘사 나오는 영화 프로모션 영상 찾아줘	getTrailer
해빙 예고편 알려줘	getTrailer
엘사 나오는 영화 유투브 예고편 재생	getTrailer
안시성 트레일러 알고싶어	getTrailer
인터스텔라 프로모션 영상 알려줘	getTrailer
인피니티워 프로모션 영상 검색해줘	search
겨울왕국 유투브 예고편 보여줘	getTrailer
인피니티워 극장 예고편 알려줘	getTrailer
엘사 나오는 영화 예고편 찾아줘	getTrailer
해빙 트레일러 보여줘	getTrailer
겨울왕국 프로모션 영상 알고싶어	getTrailer
인터스텔라 유투브 예고편 검색해줘	search
셔터 1차 예고편 재생	getTrailer
안시성 유투브 예고편 알려줘	getTrailer
 극장 예고편 검색해줘	search
라라랜드 트레일러 알고싶어	getTrailer
해빙 프로모션 영상 보여줘	getTrailer
인피니티워 1차 예고편 재생	getTrailer
엘사 나오는 영화 예고편 찾아줘	getTrailer
셔터 1차 예고편 재생	getTrailer
라라랜드 유투브 예고편 찾아줘	getTrailer
 극장 예고편 알고싶어	getTrailer
 유투브 예고편 알려줘	getTrailer
인피니티워 예고편 알고싶어	getTrailer
안시성 프로모션 영상 재생	getTrailer
엘사 나오는 영화 1차 예고편 찾아줘	getTrailer
라라랜드 트레일러 검색해줘	search
해빙 극장 예고편 보여줘	getTrailer
인터스텔라 1차 예고편 검색해줘	search
셔터 트레일러 찾아줘	getTrailer
겨울왕국 예고편 알려줘	getTrailer
셔터 유투브 예고편 재생	getTrailer
인피니티워 극장 예고편 알고싶어	getTrailer
인터스텔라 프로모션 영상 보여줘	getTrailer
라라랜드 예고편 찾아줘	getTrailer
겨울왕국 프로모션 영상 알고싶어	getTrailer
엘사 나오는 영화 트레일러 알고싶어	getTrailer
라라랜드 트레일러 찾아줘	getTrailer
겨울왕국 프로모션 영상 알려줘	getTrailer
해빙 예고편 알고싶어	getTrailer
인피니티워 1차 예고편 검색해줘	search
셔터 유투브 예고편 재생	getTrailer
인터스텔라 극장 예고편 보여줘	getTrailer
 프로모션 영상 재생	getTrailer
엘사 나오는 영화 유투브 예고편 보여줘	getTrailer
안시성 1차 예고편 알고싶어	getTrailer
 극장 예고편 알려줘	getTrailer
라라랜드 트레일러 검색해줘	search
안시성 예고편 찾아줘	getTrailer
인피니티워 프로모션 영상 알려줘	getTrailer
인터스텔라 예고편 재생	getTrailer
해빙 유투브 예고편 찾아줘	getTrailer
엘사 나오는 영화 트레일러 재생	getTrailer
인피니티워 예고편 보여줘	getTrailer
안시성 1차 예고편 찾아줘	getTrailer
셔터 극장 예고편 검색해줘	search
 유투브 예고편 알려줘	getTrailer
겨울왕국 프로모션 영상 알고싶어	getTrailer
인터스텔라 1차 예고편 재생	getTrailer
라라랜드 극장 예고편 알려줘	getTrailer
해빙 트레일러 알고싶어	getTrailer
셔터 예고편 찾아줘	getTrailer
안시성 프로모션 영상 검색해줘	search
라라랜드 유투브 예고편 보여줘	getTrailer
겨울왕국 프로모션 영상 보여줘	getTrailer
인터스텔라 극장 예고편 알고싶어	getTrailer
해빙 극장 예고편 알려줘	getTrailer
라라랜드 극장 포스터 알려줘	getPoster
해빙 홍보물 검색해줘	search
앤 해서웨이 나오는 우수영 화 알고 싶어	getPoster
엘사 나오는 영화 홍보 포스터 보여줘	getPoster
존 레전드 나오는 음악영화 포스터 찾아줘	getPoster
인터스텔라 홍보 포스터 알려줘	getPoster
안시성 극장 포스터 찾아줘	getPoster
얼음이 나오는 디즈니 영화 포스터 보여줘	getPoster
엠마 스톤 나오는 음악 영화 알고 싶어	getPoster
매튜 맥커너히 나오는 우주영화 홍보물 검색해줘	search
라이언 고슬링 엠마 스톤 나오는 영화 포스터 알고 싶어	getPoster
어벤저스 3 극장 포스터 보여줘	getPoster
인피니티 워 찾아줘	getPoster
겨울 왕국 홍보 포스터 검색해줘	search
조진웅 나오는 스릴러 홍보 포스터 찾아줘	getPoster
 극장포스터 검색해줘	search
조진웅 나오는 스릴러 포스터 찾아줘	getPoster
데이미언 셔젤 감독의 두번째 음약영화 홍보물 보여줘	getPoster
겨울왕국 알려줘	getPoster
인피니티워 홍보 포스터 알고싶어	getPoster
크리스토퍼 놀란 감독 우주영화 홍보 포스터 검색해줘	search
라라랜드 홍보물 알고싶어	getPoster
타노스 나오는 영화 포스터 찾아줘	getPoster
라이언 고슬링 엠마스톤 나오는 영화 극장포스터 보여줘	getPoster
엘사 나오는 영화 알려줘	getPoster
셔젤감독의 두번째 영화 검색해줘	search
존 레전드 나오는 음악영화 홍보 포스터 알고싶어	getPoster
해빙 극장포스터 찾아줘	getPoster
앤 해서웨이 나오는 우주영화 포스터 알고싶어	getPoster
엠마스톤 나오는 음악 영화 홍보물 알려줘	getPoster
겨울왕국 홍보 포스터 알려줘	getPoster
얼음이 나오는 디즈니영화 홍보물 검색해줘	search
라이언 고슬링 나오는 음악영화 극장포스터 보여줘	getPoster
엘사 나오는 영화 알고싶어	getPoster
조진웅 나오는 스릴러 포스터 찾아줘	getPoster
셔터 홍보 포스터 알고싶어	getPoster
타노스 나오는 영화 홍보물찾아줘	getPoster
존 레전드 나오는 음악영화 극장포스터 알려줘	getPoster
 검색해줘	search
루소형제 감독의 시빌워 다음영화 포스터 보여줘	getPoster
셔젤감독의 두번째 영화 포스터 보여줘	getPoster
앤 해서웨이 나오는 우주영화 극장포스터 찾아줘	getPoster
루소형제 감독의 MCU 영화 홍보물 알고싶어	getPoster
인터스텔라 알려줘	getPoster
안시성 포스터 알고싶어	getPoster
어벤저스 3 극장 포스터 알려줘	getPoster
조진웅 나오는 스릴러 홍보물 알고 싶어	getPoster
엘사 나오는 영화 검색해줘	search
엠마 스톤 나오는 음악 영화 포스터 찾아줘	getPoster
인터스텔라 홍보 포스터 보여줘	getPoster
겨울 왕국 홍보 포스터 알고 싶어	getPoster
루소 형제 감독의 시빌 워 다음 영화 포스터 검색해줘	search
앤 해서웨이 나오는 우주영화 보여줘	getPoster
루소 형제 감독의 MCU 영화 홍보물 찾아줘	getPoster
라이언 고슬링 나오는 음악영화 극장 포스터 알려줘	getPoster
존 레전드 나오는 음악영화 극장 포스터 알려줘	getPoster
타 노스 나오는 영화 검색해줘	search
셔젤 감독의 두 번째 영화 포스터 찾아줘	getPoster
얼음이 나오는 디즈니 영화 홍보 포스터 알려줘	getPoster
해빙 홍보 포스터 알고 싶어	getPoster
데이미언 셔젤 감독의 두번째 음약영화 홍보물 알려줘	getPoster
존 레전드 나오는 음악영화 극장포스터 검색해줘	search
인터스텔라 포스터 보여줘	getPoster
그 영화 포스터 좀 찾아줘	getPoster
안시성 홍보 포스터 찾아줘	getPoster
그 영화 포스터 좀 알려줘	getPoster
셔젤감독의 두번째 영화 홍보 포스터 알려줘	getPoster
앤 해서웨이 나오는 우주영화 홍보물 검색해줘	search
엠마스톤 나오는 음악 영화 포스터 보여줘	getPoster
매튜매커너히 나오는 우주영화 극장포스터 알고싶어	getPoster
얼음이 나오는 디즈니영화 극장포스터 찾아줘	getPoster
라이언 고슬링 엠마스톤 나오는 영화 알고싶어	getPoster
타노스 나오는 영화 홍보물 알려줘	getPoster
라이언 고슬링 나오는 음악영화 극장포스터 검색해줘	search
크리스토퍼 놀란 감독 우주영화 포스터 찾아줘	getPoster
조진웅 나오는 스릴러 홍보물찾아줘	getPoster
라이언 고슬링 엠마스톤 나오는 영화 홍보 포스터 알고싶어	getPoster
존 레전드 나오는 음악영화 극장포스터 보여줘	getPoster
루소형제 감독의 MCU 영화 포스터 알려줘	getPoster
타노스 나오는 영화 검색해줘	search
앤 해서웨이 나오는 우주영화 홍보물찾아줘	getPoster
매튜매커너히 나오는 우주영화 극장포스터 알고싶어	getPoster
라라랜드 홍보 포스터 보여줘	getPoster
그 영화 포스터 좀	getPoster
엘사 나오는 영화 포스터 알려줘	getPoster
겨울왕국 홍보물 검색해줘	search
안시성 포스터 찾아줘	getPoster
얼음이 나오는 디즈니영화 극장포스터 알려줘	getPoster
데이미언 셔젤 감독의 두번째 음약영화 포스터 보여줘	getPoster
영화 포스터 보여줘	getPoster
얼음이 나오는 디즈니영화 알고싶어	getPoster
엘사 나오는 영화 홍보 포스터 찾아줘	getPoster
셔젤감독의 두번째 영화 홍보물 알려줘	getPoster
인터스텔라 극장포스터 보여줘	getPoster
셔터 포스터 검색해줘	search
루소형제 감독의 MCU 영화 포스터 찾아줘	getPoster
겨울왕국 포스터 보여줘	getPoster
데이미언 셔젤 감독의 두번째 음약영화 홍보물 검색해줘	search
타노스 나오는 영화 홍보 포스터 보여줘	getPoster
앤 해서웨이 나오는 우주영화 극장포스터 알고싶어	getPoster
루소형제 감독의 시빌워 다음영화 포스터 알고싶어	getPoster
라이언 고슬링 엠마스톤 나오는 영화 포스터 검색해줘	search
안시성 극장포스터 검색해줘	search
라라랜드 홍보물 보여줘	getPoster
영화 포스터 좀	getPoster
라이언 고슬링 나오는 음악영화 홍보 포스터 검색해줘	search
얼음이 나오는 디즈니 영화 알려줘	getPoster
인피니티 워 극장 포스터 보여줘	getPoster
안시성 포스터 알고 싶어	getPoster
앤 해서웨이 나오는 우주영화 홍보물 찾아줘	getPoster
어벤저스 3 포스터 찾아줘	getPoster
크리스토퍼 놀런 감독 우주영화 홍보물 검색해줘	search
조진웅 나오는 스릴러 극장 포스터 보여줘	getPoster
셔젤 감독의 두 번째 영화 홍보 포스터 알려줘	getPoster
타 노스 나오는 영화 알고 싶어	getPoster
엘사 나오는 영화 극장 포스터 찾아줘	getPoster
루소 형제 감독의 시빌 워 다음 영화 포스터 알고 싶어	getPoster
인터스텔라 검색해줘	search
겨울 왕국 좀 검색해줘	search
해빙 홍보물 알고 싶어	getPoster
타노스 나오는 영화 포스터 찾아줘	getPoster
데이미언 셔젤 감독의 두번째 음약영화 극장포스터 알고싶어	getPoster
셔젤감독의 두번째 영화 검색해줘	search
루소형제 감독의 MCU 영화 홍보물 알려줘	getPoster
안시성 홍보 포스터 보여줘	getPoster
엘사 나오는 영화 포스터 보여줘	getPoster
라이언 고슬링 나오는 음악영화 홍보 포스터 알려줘	getPoster
엠마스톤 나오는 음악 영화 극장포스터 검색해줘	search
얼음이 나오는 디즈니영화 포스터 알고싶어	getPoster
포스터 찾아줘	getPoster
라이언 고슬링 엠마스톤 나오는 영화 포스터 보여줘	getPoster
존 레전드 나오는 음악영화 홍보 포스터 알고싶어	getPoster
루소형제 감독의 시빌워 다음영화 포스터 보여줘	getPoster
해빙 알고싶어	getPoster
겨울왕국 극장포스터 알려줘	getPoster
라이언 고슬링 나오는 음악영화 홍보 포스터 알고싶어	getPoster
인터스텔라 홍보물 검색해줘	search
안시성 극장포스터 찾아줘	getPoster
포스터 찾아줄래	getPoster
 포스터 보여줘	getPoster
앤 해서웨이 나오는 우주영화 포스터 검색해줘	search
엠마스톤 나오는 음악 영화 극장포스터 찾아줘	getPoster
인피니티워 검색해줘	search
루소형제 감독의 시빌워 다음영화 홍보물 알려줘	getPoster
엘사 나오는 영화 홍보 포스터 보여줘	getPoster
루소형제 감독의 MCU 영화 포스터 찾아줘	getPoster
라라랜드 인터넷에 검색해줘	search
존 레전드 나오는 음악영화 포스터 검색해줘	search
타노스 나오는 영화 홍보 포스터 보여줘	getPoster
크리스토퍼 놀란 감독 우주영화 보여줘	getPoster
루소형제 감독의 시빌워 다음영화 홍보 포스터 보여줘	getPoster
라라랜드 포스터 알고싶어	getPoster
엘사 나오는 영화 홍보물 알려줘	getPoster
매튜매커너히 나오는 우주영화 검색해줘	search
해빙 극장포스터 찾아줘	getPoster
존 레전드 나오는 음악영화 포스터 찾아줘	getPoster
 홍보 포스터 보여줘	getPoster
라이언 고슬링 나오는 음악영화 극장포스터 알고싶어	getPoster
영화 검색해줘	search
루소형제 감독의 MCU 영화 홍보물 검색해줘	search
앤 해서웨이 나오는 우주영화 홍보 포스터 보여줘	getPoster
타노스 나오는 영화 극장포스터 찾아줘	getPoster
겨울왕국 극장포스터 검색해줘	search
인피니티워 알려줘	getPoster
얼음이 나오는 디즈니영화 포스터 찾아줘	getPoster
엘사 나오는 영화 알려줘	getPoster
인터스텔라 포스터 알고싶어	getPoster
라이언 고슬링 엠마스톤 나오는 영화 홍보 포스터 검색해줘	search
안시성 홍보물찾아줘	getPoster
겨울왕국 극장포스터 보여줘	getPoster
인피니티워 극장포스터 찾아줘	getPoster
루소형제 감독의 시빌워 다음영화 홍보물 알려줘	getPoster
얼음이 나오는 디즈니영화 포스터 보여줘	getPoster
존 레전드 나오는 음악영화 홍보 포스터 검색해줘	search
앤 해서웨이 나오는 우주영화 알고싶어	getPoster
타노스 나오는 영화 홍보 포스터 검색해줘	search
라이언 고슬링 나오는 음악영화 홍보물찾아줘	getPoster
조진웅 나오는 스릴러 홍보물 알고싶어	getPoster
루소형제 감독의 MCU 영화 홍보 포스터 알고싶어	getPoster
엠마스톤 나오는 음악 영화 포스터 보여줘	getPoster
루소형제 감독의 MCU 영화 보여줘	getPoster
매튜매커너히 나오는 우주영화 홍보 포스터 알려줘	getPoster
루소형제 감독의 시빌워 다음영화 극장포스터 검색해줘	search
라이언 고슬링 나오는 음악영화 포스터 찾아줘	getPoster
영화 포스터 알고싶어	getPoster
겨울왕국 극장포스터 찾아줘	getPoster
셔젤감독의 두번째 영화 검색해서 알려줘	search
앤 해서웨이 나오는 우주영화 검색해줘	search
해빙 포스터 찾아줘	getPoster
인피니티워 홍보 포스터 검색해줘	search
